card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
01-Person 01 21,Core Box,Market,Person,Sakonna,"Vulcan
Maquis","Play - Action: You may spend 1 Latinum to gain 1 Influence and 1 Military. You may discard a Weapon to gain 1 Influence or Military. You may find a Ferengi.
---
Play - Action: If you have a Ship at the Badlands, scan for a Weapon and draw a card.
---
Resupply - Requires 4 Military: Reveal you hand. If you have a Weapon in your hand, gain 1 Latinum. If you have a Weapon in your hand and a Weapon in play, additionally gain an Action.",-,1.0
"01-Person 01 22
01-Person 02 20","Core Box
To Boldly Go",Market,Person,Su'Kal,Kelpien,"THIS CARD CANNOT BE PLAYED.
---
Passive - Whenever you take or return an Incident, gain 1 Dilithium.
---
Special - Before scoring, find and return up to 2 Incident.",-,1.0
"01-Person 01 23
01-Person 02 21","Core Box
To Boldly Go",Market,Person,Talok,"Romulan
Vulcan
Attack
Spy","Play - Action, Attack: Remove one of your Away Teams from a Location to scan 1 of Person. Your Opponent takes an Incident. If you have 2 or more Imperial in play, gain 2 Glory.
---
Passive - Increase your hand size by 1.",-,Influence
"01-Person 01 24
01-Person 02 22","Core Box
To Boldly Go",Market,Person,Tevrin Krit,"Tellarite
Business","Play - Action: Spend 2 Dilithium to scan 3 of Person. You may immediately beam the gained card to a deployed Ship you have in play to gain 1 Latinum.
---
Resupply - Gain 1 Latinum for each Cargo you have in play.",-,1.0
01-Person 01 25,Core Box,Market,Person,Zephram Cochrane,"Engineer
Human
Pilot","Play - Action: Draw 3 cards.
---
Activation - Action: Put a Ship in your Staging Area (without triggering its play operation) and spend 3 Dilithium to take the top Encounter and log this card.",-,1.0
01-Person 02 02,To Boldly Go,Market,Person,Ambassador Gral,"Ambassador
Tellarite
Attack","Play - Free: Find a card with Influence Skill / Focus.
---
Play - Free, Attack: Dismiss an opponent Vulcan / Andorian (of your choice) to gain 1 Glory. You may promote a Person with Tellarite from your hand or Staging Area to Duty Officer (can be this card).
---
Reaction - Attack: When you would return an Incident, give it to your opponent instead.",-,1.0
01-Person 02 03,To Boldly Go,Market,Person,Ash Tyler,"Starfleet
Klingon
Attack
Human
Spy","Play - Free, Requires Starfleet ≥ Klingon in play: Find a card with Military Skill / Focus.
---
Play - Free, Attack, Requires Klingon ≥ Starfleet in play: Dismiss an opponent Duty Officer to gain 2 Glory. You may promote this card to Duty Officer.
---
Passive - If you have 8+ Glory, increase your hand size by 2.",-,1.0
01-Person 02 04,To Boldly Go,Market,Person,Commander Tysess,"Starfleet
Andorian","Play - Free: Find a Person, excluding from your Reserve deck, and promote them. You may spend an Action to duplicate a play operation of the promoted card. You may spend 1 Dilithium to beam this card to a deployed Ship.
---
Reaction - After sending an Away Team to a controlled Location, spend 1 Dilithium to trigger that card's control operation.",-,1.0
01-Person 02 05,To Boldly Go,Market,Person,Degra,"Scientist
Xindi","Play - Action: Take an Incident to scan for either an Anomaly or a Xindi. You may spend 1 Dilithium to draw 2 cards.
---
Activation - Requires 5 Research: Dismiss a Weapon and spend 4 Dilithium to take the top Encounter. Log this card.",-,1.0
01-Person 02 07,To Boldly Go,Market,Person,Hoshi Sato,"Communication
Starfleet
Human
NX-01","Play - Free: Find a card with Research Skill / Focus.
---
Play - Action, Requires 5 Research: Discard a card with Research Skill / Focus to scan for Any Species of your choice. (Name the species before scanning.)
---
Activation - Action: Draw a card for each Alien you have in play (max 3 cards). You may find a card in your Reserve deck and put the found card in your Staging Area (without triggering its play operation).",-,1.0
01-Person 02 08,To Boldly Go,Market,Person,Jackabog,"Pakled
Shady","Play - Action: Spend 1 Dilithium and 1 Latinum to gain a Ship from the Junk. You may beam the gained card to a Ship.
---
Play - Action, Requires 5 Military: Dismiss a Ship with 2+ Ship beamed to it to take the top Encounter. Log this Card.
---
Resupply - Gain 1 Military. If Jackabog is wearing a Helmet, draw 2 cards.
---
Activation: Spend 1 Dilithium to beam a Helmet here.",-,1.0
01-Person 02 09,To Boldly Go,Market,Person,Landru,"Synthetic
Android","THIS CARD CANNOT BE PLAYED.
---
Activation - Beam a Person here.
---
Activation - Action, Requires 2 Influence: Log 2 Person beamed here to draw the top Location and take control of it. Junk a card from the Market and recall this card.",-,1.0
01-Person 02 11,To Boldly Go,Market,Person,Malcom Reed,"Starfleet
Security
Human
NX-01
Ops","Play - Free: Gain 1 Military. Discard a card from your hand or the the top of your deck. For each different one of Augment / Xindi / Romulan you have in your Discard pile, gain 1 Military.
---
Resupply - If you have an Engineer in play, gain 2 Dilithium.
---
Reaction - After your opponent deploys a Ship, either find a Weapon OR send an Away Team to a Location where you have an Away Team.",-,1.0
01-Person 02 12,To Boldly Go,Market,Person,Malik,"Augment
Attack
Weapon
Human","Play - free, Attack: Discard a Weapon to steal 1 Glory.
---
Play - Action - Log a Human / Klingon from your hand or Discard pile to enlist a Development and log this card.
---
Passive - This card has 1 Military skill for each Augment you have in play (including this, max 3).
---
Reaction - After putting an Attack into play (including this), discard a card to gain an Action.","???
???
???",1.0
01-Person 02 13,To Boldly Go,Market,Person,Petra Aberdeen,"Scientist
Human","Play - Action: Put a card on the top of your deck to gain a card of the same suit from the Junk. Log the gained card and gain 1 Glory. If the gained card has Ancient, draw 2 cards.
---
Activation - Gain 1 Latinum. You may discard a Starfleet to gain 1 Latinum.
---
Reaction - After putting a Cargo / Alien / Ancient into play, spend 1 Latinum to gain 2 Research.",Research,1.0
01-Person 02 15,To Boldly Go,Market,Person,President Rillak,"Ambassador
Cardassian
Bajoran
Human","Play - Action: Return any number of beamed Incident. If you returned at least 2 Incident this way, gain 2 Glory.
---
Reaction - After playing Utilise or Inspire, gain an Action.
---
Passive - You may additionally have another Person with Ambassador on duty.",-,1.0
01-Person 02 18,To Boldly Go,Market,Person,Sarina Douglas,"Augment
Human","Play - Free: Discard a Doctor / Augment to either: free play a card with Research Skill / Focus OR look at the top card of a Market Deck.
---
Resupply - Discard an Incident OR take an Incident OR dismiss this card.
---
Activation - Free play an Incident from your Discard Pile.","Wild
Wild",1.0
01-Person 02 19,To Boldly Go,Market,Person,Soji Asha,"Synthetic
Android","Play - Action: Spend 2 Dilithium to scan for a Borg.
---
Play - Free: Log a card from your Discard pile to gain 1 Dilithium.
---
Reaction - After putting a Synthetic into play (including this card), log a card from your hand to draw a card for every 5 cards in your Log (rounded down).",-,Research
01-Person 02 23,To Boldly Go,Market,Person,Thelev,"Andorian
Orion
Spy","Play - Free: For each Ambassador you have in play, gain 1 Latinum. For each Ambassador your opponent has in play, draw a card. If you have 6+ Treachery, you may refresh a Duty Officer.
---
Passive - Requires 6 Influence: Increase your hand size by 2",-,Military
01-Person 02 24,To Boldly Go,Market,Person,Travis Mayweather,"Starfleet
Human
Pilot
NX-01","Play - Free: Select a Ship and warp it. You may Spend 2 Dilithium to send an Away Team to its Location. You may exhaust your Captain to send an Away Team to the same location.
---
Reaction - After deploying a Ship, take an Incident to gain an Action, and you may warp the deployed Ship.",-,1.0
01-Person 02 25,To Boldly Go,Market,Person,Va'al Trask,"Starfleet
Andorian
Weapon
Ops","Play - Action: You may discard a Starfleet to scan for a Weapon. You may Log a Person from your hand or Discard pile. If you do both, gain 1 Glory, and you may promote this card to Duty Officer.
---
Resupply - For each Away Team you or your opponent have on a neutral Location, either: discard the top card of your Draw deck OR spend 1 Dilithium to draw a card from your Discard pile.","Military
Military",1.0
01-Person 02 26,To Boldly Go,Market,Person,Vice Admiral Pasalk,"Starfleet
Attack
Vulcan","Play - Free, Attack: Refresh a Starfleet and force your opponent to discard a card. If your opponent has an Augment in play, repeat this and gain 1 Glory.
---
Resupply - You may discard a card to draw a card. Repeat this for each Ongoing you have in play.
---
Special - While this card is in play (excluding Beamed), your opponent cannot use Reaction operations on your turn.",-,1.0
01-Person 03 01,Second Contact,Market,Person,Ambassador Spock,"Ambassador
Crossover
Telepath
Vulcan
Human","Play - Action: Log a card from your hand to gain 3 Dilithium. You may log a beamed card to scan for Research Focus.
---
Reaction - Requires 5 Research: After putting an Encounter into play, gain 1 Research / Influence / Military.
---
Passive - You may additonally have another Person with Vulcan / Romulan / Ambassador on duty.
---
Special - If not logged, this card scores -2.",-,?
01-Person 03 02,Second Contact,Market,Person,Barry Waddle,"Crossover
Business
Klingon
Attack
Human","Play - Action, Attack: Steal 2 Dilithium. You may spend 2 Latinum to scan for Influence Focus.
---
Passive - Increase your hand size by 1.
---
Reaction - Requires 5 Influence: After spending Latinum, refresh another card that shares a train with this card.
---
Special - If not logged, this card scores -2.",-,?
01-Person 03 03,Second Contact,Market,Person,Chancellor Gowron,"Crossover
Imperial
Klingon","Play - Action: Find a Klingon or a Ship. If the found card is a Ship with Klingon, gain 1 Glory. You may spend 3 Dilithium to scan for Military.
---
Reaction - Requires 5 Military: After taking control of a Location, choose 2 of the following: draw a card OR junk a card from the Market OR discard a card to gain 1 Glory.
---
Special - If not logged, this card scores -2.","Military
Influence",?
01-Person 03 04,Second Contact,Market,Person,Chef Riker,"Starfleet
Crossover
Human","Play - Action: Draw a card from your Discard pile for each different on of Beverage / Engineer / NX-01 you have in play. You may duplicate a play operation of a Person / Directive from your Log. You may promote this card to Duty Officer.
---
Activation - Free play a Ship with Starfleet.
---
Activation - Draw a Ship / Hologram / NX-01 from your Discard pile.
---
Special - If not logged, this card scores -2.",-,?
01-Person 03 05,Second Contact,Market,Person,Ensign Boimler,"Lower Decker
Starfleet
Crossover
Human","Play - Free: Discard 3 cards to gain an Action.
---
Support - After you junk or promote a Person duplicate a play operation of that card.
---
THIS CARD CANNOT BE PROMOTED.
---
Special - If not logged, this card scores -2.",-,?
01-Person 03 06,Second Contact,Market,Person,Ensign Mariner,"Lower Decker
Starfleet
Crossover
Human","Play - Free: Gain 1 Latinum. Up to twice: take an Incident to your Discard pile to find any card, except in your Reserve deck.
---
Support - After you exhaust a Duty Officer, refresh it and you may send an Away Team to a Location where you have a Ship.
---
THIS CARD CANNOT BE PROMOTED.
---
Special - If not logged, this card scores -2.",-,?
01-Person 03 07,Second Contact,Market,Person,Lieutenant Dax,"Scientist
Starfleet
Crossover
Trill","Play - Action: Gain 1 Research / Influence / Military. You may spend 1 Latinum to gain 1 Research / Influence / Military. If you have a Vulcan on duty, gain 1 Research / Influence / Military. You may promote this card to Duty Officer.
---
Reaction - When you would gain a card, scan 2 of the same suit instead, then draw a card.
---
Special - If not logged, this card scores -2.",Research,?
01-Person 03 08,Second Contact,Market,Person,The Living Witness,"Starfleet
Crossover
Hologram
Doctor","Play - Free: Draw a card. You may free play an Incident. If you have an Ancient in play, log this card and you may (additionally) find and return an Incident.
---
Endgame - Score 4.",-,Endgame
01-Person 03 09,Second Contact,Market,Person,D'Erika Tendi,"Attack
Orion
Shady","Play - Action, Attack: Discard a card to choose 2 of the following: steal 1 Latinum OR gain a Ship from the Junk OR gain 1 Influence OR gain 1 Military. IF you have another Orion in play, you may exhaust a Ship to do up to all 4 instead.
---
Activation - Attack: Spend 2 Latinum to send an Away Team to a neutral Location. You may remove an opponent Away Team from the same Location to gain 1 Glory.",-,1.0
01-Person 03 10,Second Contact,Market,Person,Jennifer Sh'reyan,"Lower Decker
Starfleet
Andorian
Pilot","Play - Free: Beam this card to a deployed Ship to gain 2 Dilithium. You may recall another card beamed to that Ship. You may warp that Ship.
---
Support - After gaining a Person, draw a card and you my send an Away Team to a controlled Location.
---
Activation - Warp a Ship to draw 2 cards and discard one of them.",-,1.0
01-Person 03 11,Second Contact,Market,Person,K'ranch,"Weapon
Alien","Play - Action: Gain 1 Military. Draw a card. You may log the drawn card to gain 2 Glory. If you do, you may promote this card to Duty Officer.
---
Reaction - After gaining a card, log the gained card to gain 1 Dilithium and draw a card.",Military,1.0
01-Person 03 12,Second Contact,Market,Person,Ma'ah,"Lower Decker
Klingon","Play - Action: Dismiss a Duty Officer to gain 1 Influence, 1 Military, and 1 Glory.
---
Support - After putting a Klingon into play, gain a Ship. Then, either spend an Action and discard an Incident OR take an Incident.
---
Activation - Log a Klingon / Shady / Lower Decker from your hand or Discard pile to gain 1 Influence and draw 2 cards.",-,1.0
01-Person 03 13,Second Contact,Market,Person,Parmen,"Telepath
Augment
Ancient
Attack","Play - Free, Attack: Find any card in your Draw deck. Exhaust an opponent Duty Officer and their Captain.
---
Play - Free: Discard a card to gain 1 Latinum and 1 Influence.
---
Reaction - Requires 6 Influence: After gaining a Person, except during your Resupply Step, discard a card to free play the gained card.",-,1.0
02-Cargo 01 01,Core Box,Market,Cargo,Biobed,Doctor,Play - Free: Junk a card from the Market. Free play an Incident OR find a Doctor.,Research,Research
"02-Cargo 01 02
02-Cargo 02 02","Core Box
To Boldly Go",Market,Cargo,Borg Spatial Trajector,"Scientist
Borg","Play - Action, Requires 4 Research: Select up to 3 Person from your hand or Discard pile. For each either: beam it to a Ship OR put it on the top of your deck to send an Away Team to a Location.
---
Play - Free, Requires 6 Borg Collective: Regenerate 1 Borg Drone and you may send a Borg Drone to any Location (controlled, neutral, or opponent).",-,2.0
"02-Cargo 01 03
02-Cargo 02 03","Core Box
To Boldly Go",Market,Cargo,Cloaking Device,"Ongoing
Cloak","Play - Action: Refresh up to 3 of your Ship. Draw 2 cards. Junk a card from the Market. Deploy this card.
---
Reaction - After deploying a Ship without Cloak, that Ship gains Cloak for the remainder of your turn, and you may discard a card to send an Away Team to a Location, ignoring any opponent Ship.",-,Military
02-Cargo 01 04,Core Box,Market,Cargo,Ferengi Wine,"Beverage
Ferengi","Play - Free, Requires 5 Influence: Gain 1 Latinum for each Ferengi and each Business you have in play (max 5). If you gained at least 3 Latinum this way, gain 1 Glory.
---
Play - Action: Spend 2 Latinum to scan 1 of Ally, including from the Junk. Junk a card from the Market.",-,2.0
"02-Cargo 01 05
02-Cargo 02 06","Core Box
To Boldly Go",Market,Cargo,Forced Singularity,"Romulan
Anomaly
Ongoing","Play - Action: You may discard a card to find an Engineer/Ops. Junk a card from the Market. Spend 2 Dilithium to deploy this card.
---
Passive - Requires 3 Military: You may have an additional Person on duty.
---
Activation - Discard an Engineer to draw 2 cards and put one of them on the top of you deck.",-,Research
"02-Cargo 01 06
02-Cargo 02 07","Core Box
To Boldly Go",Market,Cargo,Holosuite,"Hologram
Business","Play - Action: Gain 2 Latinum. You may refresh your Duty Officer. Junk a card from the Market.
---
Play - Action: Spend 1/2/3 Latinum to scan 1/2/3 of either Person, Cargo, or Ally. If you paid 2 or more, draw a card.",-,2.0
"02-Cargo 01 07
02-Cargo 02 08","Core Box
To Boldly Go",Market,Cargo,Horta,"Creature
Ongoing
Alien","Play - Action: Junk a card from the Market. You may log an Attack to enlist a Development. Deploy this card.
---
Reaction - Requires 4 Research: After gaining Dilithium, gain 2 additional Dilithium.",-,2.0
"02-Cargo 01 08
02-Cargo 02 11","Core Box
To Boldly Go",Market,Cargo,Lirpa,"Vulcan
Weapon
Attack","Play - Free, Attack: Force your opponent to dismiss (one of) their Duty Officer(s). If they do, they may draw a card. You may put a card on the top of your deck to gain 1 Glory. Draw a card for each Vulcan you have in play (excluding this card, max 5).",-,2.0
02-Cargo 01 09,Core Box,Market,Cargo,Mek'Leth,"Klingon
Weapon
Attack","Play - Free, Attack: Discard a card to gain 1 Military. Force your opponent to reveal their hand. You may discard an Attack from their hand to gain 1 Glory.",-,2.0
"02-Cargo 01 10
02-Cargo 02 13","Core Box
To Boldly Go",Market,Cargo,Orb of Time,"Transcendent Time Travel
Bajoran",Play - Free: You may take an Incident to duplicate a play operation of a Person/Cargo/Ally from your Log. You may recall another non-Time Travel card from your Staging Area.,-,Influence
"02-Cargo 01 11
02-Cargo 02 14","Core Box
To Boldly Go",Market,Cargo,Phasers,"Starfleet
Security
Ongoing
Weapon","Play - Free: Draw 2 cards. Junk a card from the Market. Deploy this Card.
---
Play - Free, Requires 4 Military: Spend 1 Dilithium to gain an Action. Junk a card from the Market. Deploy this card.
---
Reaction - When you would be forced by an attack to remove an Away Team, dismiss this card to ignore that effect.",-,2.0
"02-Cargo 01 12
02-Cargo 02 15","Core Box
To Boldly Go",Market,Cargo,Plasma Manifold,Engineer,Play - Free: Spend 3 Dilithium to gain an Action.,-,Military
02-Cargo 01 13,Core Box,Market,Cargo,Tachyon Detection Grid,"Communication
Attack","Play - Free, Attack: You may dismiss a deployed Ship to gain 2 Research. Force your opponent to log a Cloak from play. If they do, you gain 1 Glory. If you have a Security in play, gain 1 Military.",-,Influence
02-Cargo 01 14,Core Box,Market,Cargo,Tribbles,"Creature
Attack","Play - Action, Attack: Gain 1 Influence. Gain 1 Latinum. Junk a card from the Market. Your opponent takes an Incident. Dismiss all of their Klingon Duty Officers. If an were dismissed, force them to discard a card.",-,2.0
"02-Cargo 01 15
02-Cargo 02 17","Core Box
To Boldly Go",Market,Cargo,Type III Disruptor Pistols,"Weapon
Attack","Play - Action, Attack. Gain 1 Military. Junk a card from the Market. You may discard a Klingon/Romulan/Breen to remove up to 2 opponent Away Team from the same Location. Gain 1 Glory for Each Away Team removed.",-,2.0
02-Cargo 01 16,Core Box,Market,Cargo,Unstable Wormhole,Anomaly,"Play - Free: Look at the top 2 Locations or the top 2 Encounter, and put them on top and/or bottom of their deck in any order. Draw a card.
---
Play - Action, Requires 6 Influence. Spend 3 Dilithium to draw the top Location and take control of it. Junk a card from the Market. Destry this card.",-,2.0
02-Cargo 02 01,To Boldly Go,Market,Cargo,Augmentation Plague,"Klingon
Augment
Ongoing","Play - Action: Spend 3 Dilithium and 1 Latinum to deploy this card. Gain 2 Military. If your Captain is Klingon take an Incident to draw 3 cards.
---
Reaction - Attack: After your opponent puts a Klingon into play force them to discard a card.
---
Reaction - After putting a Klingon into play, gain 1 Glory.",-,Research
02-Cargo 02 04,To Boldly Go,Market,Cargo,Computer Virus,"Communication
Engineer
Ongoing
Attack","Play - Free, Attack: Force your opponent to dismiss a card beamed to a Ship. If they cannot, they take an Incident. Deploy this card.
---
Reaction - Requires 4 Military: After your opponent warps a Ship, recall this card.
---
Passive - After your opponent puts a Security / Engineer into play, gain 1 Glory and log this card.",Military,2.0
02-Cargo 02 05,To Boldly Go,Market,Cargo,EVA Suits,"Starfleet
Ongoing
Helmet","Play - Action: Deploy this card. You may beam a Person from your hand or Discard pile here.
---
Activation - Beam a Person from your hand or Discard pile here.
---
Reaction - After warping a Ship, send an Away Team to the Location you warped to for each Person beamed here. Dismiss this card.",-,2.0
02-Cargo 02 09,To Boldly Go,Market,Cargo,Jago's Epigenetic Implant,"Business
Augment
Ongoing
Doctor","Play - Action: Discard a card to deploy this card. If the discarded card is Doctor or Business, gain 2 Latinum and you may free play an Incident.
---
Resupply - For each Augment you have in play: draw a card, then discard a card. If you have no Person on duty, dismiss this card.",-,2.0
02-Cargo 02 10,To Boldly Go,Market,Cargo,Kemocite,"Time Travel
Xindi
Shady","Play - Free: find and free play a Weapon. If the card was found in your Reserve deck, take an Incident.
---
Play - Free: Dismiss a Ship to recall a non-Time Travel card from your Staging Area and draw 2 cards.
---
Play - Action: Spend 1 Dilithium to scan for a Weapon.",-,2.0
02-Cargo 02 12,To Boldly Go,Market,Cargo,Medical Diagnostic Hat,"Doctor
Helmet",Play - Action: Draw one card for each Doctor / Alien you have in play (max 5 cards). You may draw a Person from your Discard pile. You may free play an Incident from your hand or Discard pile.,-,2.0
02-Cargo 02 16,To Boldly Go,Market,Cargo,Saurian Brandy,"Beverage
Alien","Play - Free, Requires 5 Influence: Gain 1 Latinum for each Starfleet you have in play (max 3). Refresh your Captain and (one of) your Duty Officers(s).
---
Play - Action: Spend 2 Latinum to scan 2 of Person, including from the Junk Junk a card from the Market.",-,2.0
02-Cargo 02 18,To Boldly Go,Market,Cargo,Universal Translator,Communication,"Play - Action: Discard a Starfleet to scan for an Alien.
---
Play - Action: If you have 3 non-Encounter cards with Alien in play, take the top Encounter card and discard it. Dismiss every Ship with Alien and every beamed Alien. Log this card.",Research,2.0
02-Cargo 03 01,Second Contact,Market,Cargo,Gift Box,"Betazoid
Anomaly
Ongoing","Play - Action: Deploy this card. You may discard a card to gain a Cargo.
---
Resupply - You may recall a card beamed here.
---
Activation - Beam a Cargo from your Discard pile here. You opponent may draw a card.
---
Reaction - After putting a Betazoid into play (including this card), gain 1 Latinum.",-,2.0
02-Cargo 03 02,Second Contact,Market,Cargo,Moopsy,"Creature
Ongoing
Attack","Play - Action, Attack: Spend 1 Latinum to deploy this card. Force your opponent to log a Person from their hand, Discard pile, or in play.
---
Resupply - Refresh this card. You may log a Person from play. Refresh this card.
---
Reaction - After you or your opponent logs a Person, draw a card.",-,2.0
02-Cargo 03 03,Second Contact,Market,Cargo,Protocol 12,"Starfleet
Doctor
Shady","Play - Action, Requires 5 Military: For each Doctor you have in play (excluding this card, max 3), send an Away Team to a Location. If you sent 3, gain 1 Glory.
---
Play - Free: Take an Incident and log a Person / Directive from your hand or in play to gain 1 Military.
---
Special - While this card is in your Staging Area, all of you Person with Doctor are additionally treated as Augment.",-,2.0
02-Cargo 99 01,Promo 01,Market,Cargo,Sehlat,"Creature
Vulcan
Attack","Play - Free, Attack: Find a Vulcan. Force your opponent to discard a Person.
---
Play - Free: Free play a Person with Vulcan.
---
Play - Promote a Person with Vulcan from your hand or Staging Area to Duty Officer.",-,2.0
